activity,activityID,userID,"rating (hi = 50, low = 10)",,,unique users,# of ratings per user,,
Adams Morgan,g28970-d143711,IVistedThisPlace,30,,,iroamaround67801,9,,
Adams Morgan,g28970-d143711,inHim555,50,,,IDC637,7,,
Adams Morgan,g28970-d143711,HSC7540,40,,,I1351LNbenb,8,,
Adams Morgan,g28970-d143711,hfulghum,40,,,hawkmatthews,9,,
Adams Morgan,g28970-d143711,HelenaGuerra,10,,,G7308EYmichellew,9,,
Adams Morgan,g28970-d143711,Getaway11052,30,,,Eclipsegroupie,9,,
Adams Morgan,g28970-d143711,Gdsiceo,30,,,EasternCanada,9,,
Adams Morgan,g28970-d143711,garychopel,40,,,DRLaskeyTrips,9,,
Adams Morgan,g28970-d143711,Experience17366,40,,,DMGAmes_Iowa,9,,
Adams Morgan,g28970-d143711,emkayess,50,,,DM_1278,9,,
Adams Morgan,g28970-d143711,duvallj1,50,,,DLM212,9,,
Adams Morgan,g28970-d143711,DipuKV,50,,,DJBrandon,7,,
Adams Morgan,g28970-d143711,desplus2,30,,,den-rick71,9,,
Adams Morgan,g28970-d143711,denverbobcat,40,,,DCHistoryAndCulture,9,,
Adams Morgan,g28970-d143711,debbythec,50,,,DCgirl42,9,,
Adams Morgan,g28970-d143711,dcU5352FH,50,,,CodyDC,8,,
Adams Morgan,g28970-d143711,darshita,50,,,ClassyJetsetter,9,,
Adams Morgan,g28970-d143711,cyndysy,50,,,BrutolMotent,9,,
Adams Morgan,g28970-d143711,CrystalAnn56,30,,,breoni,6,,
Adams Morgan,g28970-d143711,CruisinNana2015,50,,,254jamesi,9,,
Adams Morgan,g28970-d143711,CMelam,50,,,Zzardvark,7,,
Adams Morgan,g28970-d143711,Chinapjs,40,,,WJP2-1776,8,,
Adams Morgan,g28970-d143711,ChevyChaseOne,30,,,wick1979,8,,
Adams Morgan,g28970-d143711,ChakChel,50,,,WashingtonDCMaggie,8,,
Adams Morgan,g28970-d143711,CarolinaNurse323,20,,,Viajeroconbuengusto,8,,
Adams Morgan,g28970-d143711,Cabinboy1,30,,,tikidream,8,,
Adams Morgan,g28970-d143711,Brellie,30,,,TardisTraveler8,8,,
Adams Morgan,g28970-d143711,BoudewijnK,50,,,SyrinxSounds,8,,
Adams Morgan,g28970-d143711,BorisDivjak,50,,,springbank,8,,
Adams Morgan,g28970-d143711,billjr78,50,,,sipivu,8,,
Adams Morgan,g28970-d143711,Bevon,40,,,sculler-in-charge,8,,
Adams Morgan,g28970-d143711,AtlanticTyger,40,,,SarahI487,8,,
Adams Morgan,g28970-d143711,ankurc915,40,,,ryanhA3702CX,8,,
Adams Morgan,g28970-d143711,AndreMcBride,50,,,RoyceF_12,8,,
Adams Morgan,g28970-d143711,anaemilia23,50,,,RangerBear73,8,,
Adams Morgan,g28970-d143711,AmyQ_13,40,,,OCDane,8,,
Adams Morgan,g28970-d143711,allerton21,50,,,MelissaC380,8,,
Adams Morgan,g28970-d143711,AlaskaLinda,50,,,Maliyz,8,,
Adams Morgan,g28970-d143711,acuteus,50,,,mad155,8,,
Adams Morgan,g28970-d143711,A2PM,50,,,lalocadr19,8,,
Adams Morgan,g28970-d143711,944giorgiog,40,,,kevinparsakia,8,,
Adams Morgan,g28970-d143711,839antv,40,,,jstorckmann,8,,
Adams Morgan,g28970-d143711,82groucho,50,,,JSfromDC,8,,
Adams Morgan,g28970-d143711,819hansn,40,,,JoyShurjo,8,,
Adams Morgan,g28970-d143711,7691maricel,50,,,johnfO1796QB,7,,
Adams Morgan,g28970-d143711,154dannytac,40,,,jfadds,8,,
African American Civil War Memorial & Museum,g28970-d535036,zoeylambeau,50,,,JeromeB101,8,,
African American Civil War Memorial & Museum,g28970-d535036,zipty22,50,,,jamesgL7397GI,8,,
African American Civil War Memorial & Museum,g28970-d535036,ZinFanatik,40,,,jabberwockies,8,,
African American Civil War Memorial & Museum,g28970-d535036,YSFranklin,50,,,ianwyj,8,,
African American Civil War Memorial & Museum,g28970-d535036,worldexplorer53,40,,,fredyt3,8,,
African American Civil War Memorial & Museum,g28970-d535036,WHMeg,40,,,FJGonzalezG,8,,
African American Civil War Memorial & Museum,g28970-d535036,Unisilk,50,,,DianeB733,8,,
African American Civil War Memorial & Museum,g28970-d535036,Travelergirl998,30,,,ddallas1969,8,,
African American Civil War Memorial & Museum,g28970-d535036,Travelergirl998,40,,,dclmom34,8,,
African American Civil War Memorial & Museum,g28970-d535036,tommV860PI,50,,,DC_Chickadee,8,,
African American Civil War Memorial & Museum,g28970-d535036,SunflowerDawn,50,,,DanielHenrysson,8,,
African American Civil War Memorial & Museum,g28970-d535036,SueFee,50,,,buffalojim67,8,,
African American Civil War Memorial & Museum,g28970-d535036,sms74,50,,,BuddhistNYC,8,,
African American Civil War Memorial & Museum,g28970-d535036,SMS1628,50,,,brucetaylortravels,8,,
African American Civil War Memorial & Museum,g28970-d535036,Sitaly1203,40,,,BoboTravlr,8,,
African American Civil War Memorial & Museum,g28970-d535036,SherryS994,50,,,BlueNWashington,8,,
African American Civil War Memorial & Museum,g28970-d535036,shellye407,40,,,BerkoBoy88,8,,
African American Civil War Memorial & Museum,g28970-d535036,SFresh118,30,,,Backbeat70,8,,
African American Civil War Memorial & Museum,g28970-d535036,SarahT6315,50,,,authored,7,,
African American Civil War Memorial & Museum,g28970-d535036,samkibisu,50,,,Ashkan-Ashkan,8,,
African American Civil War Memorial & Museum,g28970-d535036,RoadlessWandering,50,,,ArtsyGalBaltimore,7,,
African American Civil War Memorial & Museum,g28970-d535036,Rlpteach,50,,,andrewsC7868UF,8,,
African American Civil War Memorial & Museum,g28970-d535036,QuickWhitTravel,40,,,ace4444,8,,
African American Civil War Memorial & Museum,g28970-d535036,PrawetJ,30,,,814micaelam,7,,
African American Civil War Memorial & Museum,g28970-d535036,PEteacher1950,50,,,795vidhis,8,,
African American Civil War Memorial & Museum,g28970-d535036,parksvisitor,40,,,617collinm,8,,
African American Civil War Memorial & Museum,g28970-d535036,padatik2014,40,,,1Greg0007,8,,
African American Civil War Memorial & Museum,g28970-d535036,nicolettem353,50,,,1AnnieEliza,8,,
African American Civil War Memorial & Museum,g28970-d535036,ncsouthpawdiva,40,,,160JeanA,8,,
African American Civil War Memorial & Museum,g28970-d535036,NCDoc,40,,,zipty22,7,,
African American Civil War Memorial & Museum,g28970-d535036,moviegeekjn,20,,,Weetbix7,7,,
African American Civil War Memorial & Museum,g28970-d535036,Moosenearchicago0,50,,,USMEagleFan,7,,
African American Civil War Memorial & Museum,g28970-d535036,lrgayles,50,,,U819XUkimberlyb,7,,
